 

stn;time;gre000z0
STG;202104180000;0
STG;202104180010;0
STG;202104180020;0
STG;202104180030;0
STG;202104180040;0
STG;202104180050;0
STG;202104180100;0
STG;202104180110;0
STG;202104180120;0
STG;202104180130;0
STG;202104180140;0
STG;202104180150;0
STG;202104180200;0
STG;202104180210;0
STG;202104180220;0
STG;202104180230;0
STG;202104180240;0
STG;202104180250;0
STG;202104180300;0
STG;202104180310;0
STG;202104180320;0
STG;202104180330;0
STG;202104180340;0
STG;202104180350;0
STG;202104180400;0
STG;202104180410;0
STG;202104180420;0
STG;202104180430;0
STG;202104180440;0
STG;202104180450;0
STG;202104180500;1
STG;202104180510;1
STG;202104180520;6
STG;202104180530;10
STG;202104180540;14
STG;202104180550;17
STG;202104180600;20
STG;202104180610;20
STG;202104180620;27
STG;202104180630;33
STG;202104180640;43
STG;202104180650;56
STG;202104180700;79
STG;202104180710;67
STG;202104180720;108
STG;202104180730;169
STG;202104180740;198
STG;202104180750;202
STG;202104180800;164
STG;202104180810;119
STG;202104180820;118
STG;202104180830;170
STG;202104180840;139
STG;202104180850;170
STG;202104180900;184
STG;202104180910;185
STG;202104180920;166
STG;202104180930;165
STG;202104180940;166
STG;202104180950;155
STG;202104181000;135
STG;202104181010;124
STG;202104181020;131
STG;202104181030;212
STG;202104181040;259
STG;202104181050;313
STG;202104181100;346
STG;202104181110;356
STG;202104181120;272
STG;202104181130;244
STG;202104181140;342
STG;202104181150;342
STG;202104181200;292
STG;202104181210;213
STG;202104181220;156
STG;202104181230;145
STG;202104181240;184
STG;202104181250;263
STG;202104181300;216
STG;202104181310;222
STG;202104181320;269
STG;202104181330;232
STG;202104181340;221
STG;202104181350;256
STG;202104181400;392
STG;202104181410;350
STG;202104181420;375
STG;202104181430;359
STG;202104181440;315
STG;202104181450;273
STG;202104181500;263
STG;202104181510;267
STG;202104181520;276
STG;202104181530;385
STG;202104181540;434
STG;202104181550;262
STG;202104181600;259
STG;202104181610;193
STG;202104181620;229
STG;202104181630;271
STG;202104181640;129
STG;202104181650;94
STG;202104181700;72
STG;202104181710;72
STG;202104181720;37
STG;202104181730;26
STG;202104181740;20
STG;202104181750;14
STG;202104181800;7
STG;202104181810;2
STG;202104181820;0
STG;202104181830;0
STG;202104181840;0
STG;202104181850;0
STG;202104181900;0
STG;202104181910;0
STG;202104181920;0
STG;202104181930;0
STG;202104181940;0
STG;202104181950;0
STG;202104182000;0
STG;202104182010;0
STG;202104182020;0
STG;202104182030;0
STG;202104182040;0
STG;202104182050;0
STG;202104182100;0
STG;202104182110;0
STG;202104182120;0
STG;202104182130;0
STG;202104182140;0
STG;202104182150;0
STG;202104182200;0
STG;202104182210;0
STG;202104182220;0
STG;202104182230;0
STG;202104182240;0
STG;202104182250;0
STG;202104182300;0
STG;202104182310;0
STG;202104182320;0
STG;202104182330;0
STG;202104182340;0
STG;202104182350;0
STG;202104190000;0
STG;202104190010;0
STG;202104190020;0
STG;202104190030;0
STG;202104190040;0
STG;202104190050;0
STG;202104190100;0
STG;202104190110;0
STG;202104190120;0
STG;202104190130;0
STG;202104190140;0
STG;202104190150;0
STG;202104190200;0
STG;202104190210;0
STG;202104190220;0
STG;202104190230;0
STG;202104190240;0
STG;202104190250;0
STG;202104190300;0
STG;202104190310;0
STG;202104190320;0
STG;202104190330;0
STG;202104190340;0
STG;202104190350;0
STG;202104190400;0
STG;202104190410;0
STG;202104190420;0
STG;202104190430;0
STG;202104190440;3
STG;202104190450;10
STG;202104190500;16
STG;202104190510;29
STG;202104190520;38
STG;202104190530;46
STG;202104190540;55
STG;202104190550;64
STG;202104190600;76
STG;202104190610;85
STG;202104190620;92
STG;202104190630;118
STG;202104190640;139
STG;202104190650;178
STG;202104190700;393
STG;202104190710;372
STG;202104190720;283
STG;202104190730;289
STG;202104190740;527
STG;202104190750;473
STG;202104190800;437
STG;202104190810;532
STG;202104190820;448
STG;202104190830;408
STG;202104190840;630
STG;202104190850;470
STG;202104190900;286
STG;202104190910;495
STG;202104190920;417
STG;202104190930;838
STG;202104190940;785
STG;202104190950;784
STG;202104191000;782
STG;202104191010;853
STG;202104191020;850
STG;202104191030;734
STG;202104191040;829
STG;202104191050;868
STG;202104191100;771
STG;202104191110;641
STG;202104191120;893
STG;202104191130;687
STG;202104191140;559
STG;202104191150;788
STG;202104191200;832
STG;202104191210;853
STG;202104191220;488
STG;202104191230;286
STG;202104191240;247
STG;202104191250;737
STG;202104191300;676
STG;202104191310;843
STG;202104191320;872
STG;202104191330;388
STG;202104191340;280
STG;202104191350;380
STG;202104191400;590
STG;202104191410;577
STG;202104191420;594
STG;202104191430;594
STG;202104191440;445
STG;202104191450;350
STG;202104191500;395
STG;202104191510;579
STG;202104191520;301
STG;202104191530;337
STG;202104191540;295
STG;202104191550;343
STG;202104191600;457
STG;202104191610;365
STG;202104191620;309
STG;202104191630;203
STG;202104191640;154
STG;202104191650;104
STG;202104191700;85
STG;202104191710;73
STG;202104191720;60
STG;202104191730;49
STG;202104191740;32
STG;202104191750;21
STG;202104191800;18
STG;202104191810;8
STG;202104191820;0
STG;202104191830;0
STG;202104191840;0
STG;202104191850;0
STG;202104191900;0
STG;202104191910;0
STG;202104191920;0
STG;202104191930;0
STG;202104191940;0
STG;202104191950;0
STG;202104192000;0
STG;202104192010;0
STG;202104192020;0
STG;202104192030;0
STG;202104192040;0
STG;202104192050;0
STG;202104192100;0
STG;202104192110;0
STG;202104192120;0
STG;202104192130;0
STG;202104192140;0
STG;202104192150;0
STG;202104192200;0
STG;202104192210;0
STG;202104192220;0
STG;202104192230;0
STG;202104192240;0
STG;202104192250;0
STG;202104192300;0
STG;202104192310;0
STG;202104192320;0
STG;202104192330;0
STG;202104192340;0
STG;202104192350;0
STG;202104200000;0
STG;202104200010;0
STG;202104200020;0
STG;202104200030;0
STG;202104200040;0
STG;202104200050;0
STG;202104200100;0
STG;202104200110;0
STG;202104200120;0
STG;202104200130;0
STG;202104200140;0
STG;202104200150;0
STG;202104200200;0
STG;202104200210;0
STG;202104200220;0
STG;202104200230;0
STG;202104200240;0
STG;202104200250;0
STG;202104200300;0
STG;202104200310;0
STG;202104200320;0
STG;202104200330;0
STG;202104200340;0
STG;202104200350;0
STG;202104200400;0
STG;202104200410;0
STG;202104200420;0
STG;202104200430;0
STG;202104200440;3
STG;202104200450;8
STG;202104200500;15
STG;202104200510;22
STG;202104200520;27
STG;202104200530;34
STG;202104200540;41
STG;202104200550;51
STG;202104200600;100
STG;202104200610;198
STG;202104200620;292
STG;202104200630;284
STG;202104200640;327
STG;202104200650;353
STG;202104200700;386
STG;202104200710;419
STG;202104200720;448
STG;202104200730;476
STG;202104200740;504
STG;202104200750;533
STG;202104200800;562
STG;202104200810;587
STG;202104200820;613
STG;202104200830;637
STG;202104200840;664
STG;202104200850;689
STG;202104200900;716
STG;202104200910;746
STG;202104200920;775
STG;202104200930;813
STG;202104200940;777
STG;202104200950;763
STG;202104201000;822
STG;202104201010;833
STG;202104201020;841
STG;202104201030;844
STG;202104201040;856
STG;202104201050;865
STG;202104201100;554
STG;202104201110;918
STG;202104201120;888
STG;202104201130;185
STG;202104201140;205
STG;202104201150;186
STG;202104201200;543
STG;202104201210;314
STG;202104201220;622
STG;202104201230;854
STG;202104201240;844
STG;202104201250;832
STG;202104201300;733
STG;202104201310;241
STG;202104201320;206
STG;202104201330;484
STG;202104201340;704
STG;202104201350;743
STG;202104201400;737
STG;202104201410;700
STG;202104201420;613
STG;202104201430;687
STG;202104201440;538
STG;202104201450;625
STG;202104201500;603
STG;202104201510;552
STG;202104201520;501
STG;202104201530;459
STG;202104201540;431
STG;202104201550;403
STG;202104201600;372
STG;202104201610;340
STG;202104201620;304
STG;202104201630;276
STG;202104201640;242
STG;202104201650;210
STG;202104201700;180
STG;202104201710;149
STG;202104201720;122
STG;202104201730;93
STG;202104201740;67
STG;202104201750;44
STG;202104201800;25
STG;202104201810;11
STG;202104201820;1
STG;202104201830;0
STG;202104201840;0
STG;202104201850;0
STG;202104201900;0
STG;202104201910;0
STG;202104201920;0
STG;202104201930;0
STG;202104201940;0
STG;202104201950;0
STG;202104202000;0
STG;202104202010;0
STG;202104202020;0
STG;202104202030;0
STG;202104202040;0
STG;202104202050;0
STG;202104202100;0
STG;202104202110;0
STG;202104202120;0
STG;202104202130;0
STG;202104202140;0
STG;202104202150;0
STG;202104202200;0
STG;202104202210;0
STG;202104202220;0
STG;202104202230;0
STG;202104202240;0
STG;202104202250;0
STG;202104202300;0
STG;202104202310;0
STG;202104202320;0
STG;202104202330;0
STG;202104202340;0
STG;202104202350;0
STG;202104210000;0
STG;202104210010;0
STG;202104210020;0
STG;202104210030;0
STG;202104210040;0
STG;202104210050;0
STG;202104210100;0
STG;202104210110;0
STG;202104210120;0
STG;202104210130;0
STG;202104210140;0
STG;202104210150;0
STG;202104210200;0
STG;202104210210;0
STG;202104210220;0
STG;202104210230;0
STG;202104210240;0
STG;202104210250;0
STG;202104210300;0
STG;202104210310;0
STG;202104210320;0
STG;202104210330;0
STG;202104210340;0
STG;202104210350;0
STG;202104210400;0
STG;202104210410;0
STG;202104210420;0
STG;202104210430;2
STG;202104210440;8
STG;202104210450;22
STG;202104210500;39
STG;202104210510;68
STG;202104210520;93
STG;202104210530;119
STG;202104210540;148
STG;202104210550;178
STG;202104210600;208
STG;202104210610;238
STG;202104210620;269
STG;202104210630;301
STG;202104210640;334
STG;202104210650;366
STG;202104210700;400
STG;202104210710;430
STG;202104210720;461
STG;202104210730;492
STG;202104210740;521
STG;202104210750;549
STG;202104210800;576
STG;202104210810;604
STG;202104210820;630
STG;202104210830;653
STG;202104210840;675
STG;202104210850;698
STG;202104210900;720
STG;202104210910;744
STG;202104210920;761
STG;202104210930;776
STG;202104210940;791
STG;202104210950;808
STG;202104211000;826
STG;202104211010;838
STG;202104211020;848
STG;202104211030;856
STG;202104211040;859
STG;202104211050;865
STG;202104211100;878
STG;202104211110;862
STG;202104211120;584
STG;202104211130;888
STG;202104211140;920
STG;202104211150;811
STG;202104211200;740
STG;202104211210;241
STG;202104211220;276
STG;202104211230;207
STG;202104211240;278
STG;202104211250;155
STG;202104211300;172
STG;202104211310;304
STG;202104211320;402
STG;202104211330;362
STG;202104211340;489
STG;202104211350;676
STG;202104211400;677
STG;202104211410;385
STG;202104211420;368
STG;202104211430;702
STG;202104211440;648
STG;202104211450;554
STG;202104211500;500
STG;202104211510;262
STG;202104211520;153
STG;202104211530;202
STG;202104211540;298
STG;202104211550;294
STG;202104211600;305
STG;202104211610;420
STG;202104211620;355
STG;202104211630;298
STG;202104211640;259
STG;202104211650;228
STG;202104211700;196
STG;202104211710;173
STG;202104211720;140
STG;202104211730;107
STG;202104211740;76
STG;202104211750;48
STG;202104211800;24
STG;202104211810;11
STG;202104211820;3
STG;202104211830;0
STG;202104211840;0
STG;202104211850;0
STG;202104211900;0
STG;202104211910;0
STG;202104211920;0
STG;202104211930;0
STG;202104211940;0
STG;202104211950;0
STG;202104212000;0
STG;202104212010;0
STG;202104212020;0
STG;202104212030;0
STG;202104212040;0
STG;202104212050;0
STG;202104212100;0
STG;202104212110;0
STG;202104212120;0
STG;202104212130;0
STG;202104212140;0
STG;202104212150;0
STG;202104212200;0
STG;202104212210;0
STG;202104212220;0
STG;202104212230;0
STG;202104212240;0
STG;202104212250;0
STG;202104212300;0
STG;202104212310;0
STG;202104212320;0
STG;202104212330;0
STG;202104212340;0
STG;202104212350;0
STG;202104220000;0
STG;202104220010;0
STG;202104220020;0
STG;202104220030;0
STG;202104220040;0
STG;202104220050;0
STG;202104220100;0
STG;202104220110;0
STG;202104220120;0
STG;202104220130;0
STG;202104220140;0
STG;202104220150;0
STG;202104220200;0
STG;202104220210;0
STG;202104220220;0
STG;202104220230;0
