;Title;Text
0;Man falls in an accident at work;On Tuesday (July 28th, 2020) a 66-year-old fell off a ladder on Langgasse while he was working on an electrical installation. He had to be taken to the hospital with unspecified injuries. On Tuesday afternoon shortly before 4 p.m., a 66-year-old man was working on an electrical installation at Langgasse 72. He leaned a two-meter-high stepladder in the closed position against the corner of the house. Then he climbed the ladder when he fell on the top step. The man sustained unspecified injuries in the fall and could no longer remember what happened. The paramedics first took care of him and then brought him to the hospital. Subsequent investigations have shown that no electricity was flowing at the installation on which he was working at the time of the accident
1;Attacked, verbally abused and threatened the police;From Saturday to Sunday (August 2nd, 2020) there were two incidents in which police officers from the St.Gallen City Police were attacked, insulted or threatened. Three people were reported. Early on Saturday evening, August 1, 2020, the St.Gallen City Police received two reports that two young people were blocking the road on St.Leonhard-Strasse and had hit vehicles. A patrol found the two men at the public parking lot at the Gaiserbahnhof. There they blocked the entrance and exit. As the patrol approached the two people, a man cursed them and asked them to fight. The 19-year-old could not be reassured, which is why he and his colleague were brought to the post. Because of his behavior, the Swiss was charged with violence and threats against authorities and officials. The second man behaved decently and was able to leave the post after a brief inspection. Both men were drunk. Another incident occurred early Sunday morning, August 2, 2020. A patrol was called at 2 a.m. to a fight in Katharinengasse. On site they had to handcuff a man who had previously dealt several blows to another man. During the arrest, the 25-year-old Chinese protested massively, verbally abused the emergency services and threatened them with death. During the operation, another man approached the police aggressively. The forces turned him away, but he disregarded this. When he pushed a policewoman away, the 38-year-old Swiss man was also handcuffed. Both people were taken to the police station and reported.
2;Stones washed onto the street;Due to the heavy rainfall on Sunday evening (August 2nd, 2020) stones were washed onto the street on Speicherstrasse. The street had to be cleaned. On Sunday evening there was heavy rain in the city of St.Gallen. The St.Gallen city police received two reports that manhole covers had been washed onto the street. These could be placed again by the police. On the Speicherstrasse, the water could no longer run off through the shafts, which is why stones were washed onto the street. The street had to be cleaned. According to the police's knowledge, there was no property damage. Image 1: Stones on Speicherstrasse Image 2: Stones on Speicherstrasse
3;Two people injured after an accident;"On Monday (August 3rd, 2020) there was a collision between two cars on Fürstenlandstrasse. Two people were injured in the process. Both vehicles had to be towed. On Monday, a driver drove from Straubenzellstrasse to Fürstenlandstrasse at 3:45 p.m. In doing so, he overlooked a car that was being driven into the city on Fürstenlandstrasse. As a result, there was a collision between the two vehicles. Two female passengers were injured who were sitting in the vehicle driving into town. They were brought to the hospital for a check-up. Both cars were no longer drivable and had to be towed. Figure 1: Accident situation on Fürstenlandstrasse; Figure 2: Car driving on Fürstenlandstrasse; Figure 3: Car driving on Straubenzellstrasse"
4;Back to school: Attention, surprise children;"School starts on Monday, August 10, 2020 in the city of St.Gallen and children can be found on their way to school again. The campaign for the way to school is under the motto ""Attention children, surprise"". The St.Gallen City Police is increasingly present during the first week of school and asks road users to be particularly careful. School or kindergarten begins for the children on Monday, August 10, 2010. That's why they're on their way to school or home again. Children have a different perception than adults and are not yet able to assess dangers immediately. Sometimes they are unpredictable and can surprise you. Therefore, double attention is required for road users. The St.Gallen City Police asks you to be particularly careful, especially when children are nearby. St.Gallen City Police supports the national school commute campaign, which has the motto “Be careful, surprise children”. In addition to car stickers on civilian cars, posters and banners are also hung in the city of St.Gallen. In addition, employees of the St.Gallen City Police are out and about on the streets near schools during the first week of school to ensure the safety of the children and to help them across the street."
5;Witness call: pedestrian seriously injured;On Wednesday afternoon (August 5th, 2020) an accident occurred on Rorschacher Strasse in which a pedestrian was hit. She was badly injured. The police are looking for witnesses. On Wednesday, shortly after 2 p.m., a driver was walking into town on Rorschacher Strasse. At the height of property 19, the 81-year-old collided with a woman and her dog who were crossing the street on the pedestrian crossing. The 88-year-old woman was seriously injured and had to be taken to the hospital by the ambulance. Your dog had to be euthanized because of the injuries. The police are looking for witnesses. Information on the course of the accident can be obtained from the St.Gallen City Police on 071 224 60 00. Photo 1: Rorschacher Strasse accident site Photo 2: Car
6;Traveling naked after drug use;"On Wednesday evening (August 5th, 2020) the St.Gallen City Police stopped two naked people based on reports. It turned out that they had probably used drugs beforehand. The two brothers, aged 26 and 32, had to spend the night at the police station. On Wednesday at 8 p.m., the St.Gallen city police received a message from a resident in the St.Georgen area that a stranger was standing in his apartment undress. When the police arrived, the man was sitting naked on the sofa and could hardly answer questions. He merely stated that he had previously consumed LSD with his brother in the forest. He doesn't know where his brother is now. However, this was stopped by a patrol three hours earlier and was at the police station. The patrol had to move out at 5 p.m. due to the report that a naked man was walking on St. Georgen-Strasse. When stopped, he could not answer any questions either and was confused. The two brothers, aged 26 and 32, were examined by a doctor and had to spend the night at the police station due to self-harm. In the morning they were able to leave the post. This incident shows that drugs change perception, which can also lead to dangerous situations. That is why the St.Gallen City Police explain the subject of drugs to young people at school. The youth police also visit young groups in the exit on the weekends, for example, in order to raise their awareness. Information on the subject of drugs is also available in the brochure ""Drugs - No thanks!"" of Swiss crime prevention."
7;Car driver collides with traffic island;On Sunday morning (August 9th, 2020) a car driver drove over a traffic island on Martinsbruggstrasse. Nobody was injured in the self-accident, but there was considerable property damage. On Sunday just before 11.30 a.m., a 27-year-old drove her vehicle on Fuchsenstrasse out of town. When she wanted to turn left onto Martinsbruggstrasse, she said she took a second check. Therefore, she turned too far and collided head-on with two traffic signs and two island protection posts. Since the vehicle was leaking oil and cooling water, the St.Gallen professional fire brigade was called in. Nobody was injured, but there was considerable property damage. The vehicle was then towed away.Picture 1: Traffic island with a car in the backgroundPicture 2: Close-up of the car involved in the accident
8;Two slightly injured in a rear-end collision;On Monday afternoon (August 10, 2020) there was a rear-end collision on Zürcher Strasse. The two drivers were slightly injured and a vehicle had to be towed away. On Monday, shortly after 1 p.m., a 30-year-old drove into the city on Zürcher Strasse. When the traffic light at Geissbergstrasse changed from green to red, he stopped. The 52-year-old driver in the car below noticed too late that the car was braking in front of him. As a result, he hit the rear of the front car. Both drivers were slightly injured, but did not have to be taken to hospital. There was moderate property damage. The 52-year-old's car had to be towed. Figure 1: Front view of the vehicle Figure 2: Interior view with a splintered windshield
9;Pedestrians and cyclists injured;On Thursday afternoon (August 13th, 2020) a cyclist collided with a pedestrian on Vadianstrasse. Both were slightly injured. The cyclist had to be taken to the hospital for a check-up. A pedestrian was out on the sidewalk on Vadianstrasse at 4:15 p.m. on Thursday. According to initial findings, a cyclist came along the pavement in a brisk manner and collided with the pedestrian at the level of St. Leonhard Park. Both fell to the ground and injured themselves rather easily. The pedestrian did not need medical care. The ambulance took the cyclist to the hospital for a check-up. The police seized a small amount of marijuana from the man. He had to give a blood and urine sample. The exact background will be clarified by the St.Gallen City Police
10;Rolled 50 meters down the street;On Thursday afternoon (August 13th, 2020) a delivery van was insufficiently secured on Iltisstrasse and rolled 50 meters down the street. He crashed into a parked car, causing high property damage. Nobody was injured. On Thursday shortly before 2:50 p.m., a man parked his van on Iltisstrasse. A short time later, the vehicle set itself in motion and rolled down the street. After about 50 meters, the delivery van crashed into a parked car. Nobody got hurt. However, there was high damage to property. The van driver did not apply the handbrake, which is why the vehicle rolled away on a slight downhill gradient
11;Witness call: Cyclist falls because of parking the car;On Wednesday morning (August 12th, 2020) an e-bike driver had an accident on the Columbanstrasse. He was forced to brake hard because of a car parked. The person in the car moved away from the scene of the accident, which is why the police are looking for witnesses. On Wednesday, shortly before 10.30 a.m., a 30-year-old e-bike driver drove down the Columbanstrasse. He had to slow down hard at property no. 76. The reason for this was a car parked out that cut off his path. As a result of his emergency braking, he fell and had to be taken to the hospital with minor injuries. There was minor property damage. The person in the car moved away from the scene of the accident, which is why the police are looking for witnesses. If you can provide information about the person in the car or the vehicle, please contact the St.Gallen City Police at 071 224 60 00
12;Two cars collide on Langgasse;"On Wednesday night (August 19, 2020) there was a car accident at the Heiligkreuzstrasse bus stop. Two female passengers were injured indefinitely. On Wednesday shortly after 11 p.m., a 40-year-old driver and two female passengers drove into town on Langgasse. He wanted to stop at the Heiligkreuzstrasse bus stop to let one of the two people get off. Just before he stopped, a 45-year-old driver hit the back of his car. The two passengers injured each other indefinitely; one of them because she wasn't wearing a seat belt. They had to be brought to the hospital for a check-up. The two vehicles had to be towed and there was property damage worth more than 10,000 francs. Figure 1: Overview of the accident site Figure 2: Close-up of the damaged vehicle"
13;Tumbler catches fire;On Wednesday (August 19th, 2020) a tumbler caught fire in a hotel in the east of the city. Nobody was injured. On Wednesday shortly before 8:30 p.m., a report was received about smoke development in a hotel in the east of the city. Guests and employees were evacuated. The St.Gallen professional fire brigade identified the laundry in the basement as a source of fire. According to initial findings, the laundry in a tumbler caught fire there. The professional fire brigade St.Gallen was able to extinguish the fire and blow out the smoke with a fan. No one was injured in the incident. The evacuated people were able to re-enter the building a short time later. The damage to property cannot yet be precisely quantified. The cause of the fire is still unclear and is being clarified in collaboration with specialists from the forensics competence center of the St.Gallen cantonal police. Figure 1: Tumbler with burnt laundry
14;Call of a witness: Serious accident in an outdoor swimming pool;On Thursday afternoon (08/20/2020) there was an accident in the Lerchenfeld outdoor pool. A 9-year-old boy was seriously injured. The St.Gallen city police are looking for witnesses. On Thursday there was a serious accident shortly after 3 p.m. in the Lerchenfeld outdoor pool. A 9-year-old boy fell from the 5-meter diving platform onto the edge of the pool for reasons that were still unknown. He was seriously injured and had to be taken to hospital. The course of the accident is still unclear, which is why witnesses are being sought. Anyone who can provide information about the accident is asked to report to the St.Gallen City Police at 071 224 60 00. Image: Lerchenfeld outdoor pool
15;Child on scooter collides with car;On Thursday evening (August 20, 2020) an accident between a scooter and a car occurred on Rorschacher Strasse. The boy involved was slightly injured. On Thursday, shortly before 6.30 p.m., a 56-year-old driver drove on Rorschacher Strasse towards the city center. There was slow traffic in columns. After the pedestrian crossing at Helvetiastrasse, an 8-year-old unexpectedly drove his scooter onto the lane in front of the 56-year-old's slow-moving car. Despite her emergency braking, there was a collision with the scooter. The boy fell and was slightly injured. He was taken to the hospital for control. Figure 1: Overview of the scene of the accident with a car Figure 2: Scooter
16;Man injured himself with an angle grinder;On Thursday (08/20/2020) a 57-year-old was injured in an accident at work with an angle grinder. The paramedics brought him to the hospital with undetermined injuries. On Thursday shortly after 4.30 p.m., a 57-year-old man was working on a construction site on Rorschacher Strasse. When he was working on a plastic pipe with an angle grinder, he cut his right forearm for reasons that are still unknown. He was given first aid at the scene of the accident and then brought to the hospital by the paramedics. The course of the accident is now being clarified. Figure 1: Angle grinder
17;Self-accident with injured driver;On Saturday evening (August 22nd, 2020) a driver lost control of her vehicle. She broke through a hedge with her car and then crashed into the facade of the building there. The driver had to be brought to the hospital for an inspection. Text alternative to the picture: Hedge breakthrough - new window On Saturday shortly after 7:00 p.m., a 21-year-old driver drove her car out of town on Martinsbruggstrasse. At the junction with Reherstrasse, she lost control of her car, presumably due to a lack of driving experience. As a result, she came off the road, broke through a hedge and ultimately hit the facade of the apartment building there. The driver of the vehicle had to be taken to the canton hospital by ambulance for control. The breath alcohol test carried out was not stressful. End position of the Pw Figure 3: Approach from above Figure 2: Hedge passage Figure 1: Approach direction
18;Jumped in front of cars, heavily drunk;On Monday evening (August 24th, 2020) the St.Gallen City Police stopped a heavily drunk man in Schmiedgasse. He was almost hit by a car twice. The 34-year-old had to spend the night at the police station because he was at risk to himself. On Monday at 9:30 p.m., the St.Gallen city police received a report from a restaurant in Schmiedgasse about a heavily drunk man. The police found the 34-year-old staggering around in a circle on the lane near Oberer Graben. There a driver reported that he had almost caught the man with his vehicle shortly beforehand. The 34-year-old was visibly drunk. He tried to avoid the police at all times and suddenly fled. There was another dangerous situation with a correctly driving car. The police were able to stop him shortly afterwards. The search revealed ten strips of paper, presumably with LSD added. The breath alcohol measurement measured 0.79 mg / l. The man was classified by the medical officer as capable of being held liable and had to spend the night at the police station because of self-endangerment. Following the medical examination, he showed aggressive and unruly behavior. He attempted to assault a police officer and littered the detention cell.
19;Man rushes through glass doors;On Wednesday morning (August 26th, 2020) a 31-year-old fell two meters during installation work. When he fell, he broke through two glass doors and injured himself indefinitely. He was brought to the hospital by the St.Gallen ambulance. On Wednesday shortly before 12 p.m., a 31-year-old was working on a ventilation duct on a construction site on Heiligkreuzstrasse. He climbed a ladder to an electrical box to isolate the ventilation from there. When he got on the electrical box, he broke through the lid with his body weight and fell two meters into the depth. He broke through two glass doors and injured his upper arm indefinitely. He also knocked out a tooth when he fell. The St.Gallen ambulance brought him to the hospital after the first aid. Figure 1: Overview of the accident site
20;Accident victim died;On Wednesday (August 5th, 2020) an 81-year-old driver ran into an 88-year-old pedestrian and her dog on a zebra crossing on Rorschacher Strasse. The St.Gallen City Police reported on it. The dog had to be put to sleep on the day of the accident. The 88-year-old woman has now succumbed to her serious injuries in the hospital.
21;Car driver collides with Appenzeller Bahn;On Thursday evening (August 27th, 2020) a passenger car collided with an Appenzell train when exiting the Rathaus underground car park on Bahnhofstrasse. Nobody was injured in the accident, but there was moderate property damage. A 24-year-old man drove out of the town hall garage on Thursday at 10 p.m. and then intended to drive on Schützengasse. At the exit, he initially gave the right of way to a bus crossing from the left. Despite the following obstruction to the right, he then drove on Bahnhofstrasse and subsequently crashed into the Appenzeller Bahn heading west. Nobody was injured in the process. There was moderate property damage to the vehicles involved and a rail replacement service was provided. However, the Appenzell Railway involved was able to continue the journey shortly afterwards. Photo 1: Car collides with Appenzeller Bahn Photo 2: Close-up of damaged vehicle
22;Slightly injured after an argument;"On Saturday morning (August 29th, 2020) there was an argument in a restaurant on Unterer Graben. Two people were slightly injured. Early on Saturday morning at 4:15 a.m. there was an argument between several people in a pub on Unterer Graben. A 34-year-old and a 28-year-old were slightly injured. When the police officers who were summoned wanted to control the alleged perpetrators, they were threatened and verbally abused by them. A 26-year-old ran away despite several ""stop police"" calls. When the police were able to stop him, they were attacked by a second 26-year-old. The two 26-year-old men finally had to go to the police station, where they were promised a complaint. After consulting with the St.Gallen canton police, the two men were subsequently released."
