Link;Title;Text;Veröffentlicht;Bild URL;Bild
https://www.stadt.sg.ch/news/13/2020/09/verstoss-gegen-strassenverkehrs--und-waffengesetz.html;Verstoss gegen Strassenverkehrs- und Waffengesetz;"<div class=""t"">
	         		<strong><p>In der Nacht auf Samstag (05.09.2020) hielt die Stadtpolizei St.Gallen einen Mann an, welcher mehrfach Rotlichter missachtete, sich der anschliessenden Kontrolle zu entziehen versuchte und letztendlich als fahrunfähig eingestuft wurde. Im Fahrzeug wurden zudem verbotene Schlagringe sichergestellt und am Fahrzeug selbst unzulässige technische Abänderungen festgestellt.</p></strong>
	         		
						<div class=""newsbild""> 
							<a href=""https://www.stadt.sg.ch/news/13/2020/09/verstoss-gegen-strassenverkehrs--und-waffengesetz.html"" title=""Interner Link: Verstoss gegen Strassenverkehrs- und Waffengesetz"">
								<img alt=""Symbolbild"" class=""textbild"" src=""https://www.stadt.sg.ch/content/applikationen/news/13/2020/09/verstoss-gegen-strassenverkehrs--und-waffengesetz/jcr:content/newsdetail.jpg"" width=""250"" />
							</a>
							<p class=""bildlegende""></p>
						</div>
					
					<p>In der Nacht auf Samstag fiel einer Patrouille der Stadtpolizei St.Gallen um 0:30 Uhr ein Autofahrer auf, welcher gleich mehrere Rotlichter missachtete. Die Patrouille nahm die Nachfahrt mit Martinshorn und Blaulicht auf. Der Autofahrer reagierte jedoch nicht auf die Polizisten und ignorierte auch die «STOP»-Polizeimatrix. Als er schliesslich angehalten werden konnte, wurde der 21-Jährige als fahrunfähig eingestuft. Die Staatsanwaltschaft St.Gallen verfügte eine Blut- und Urinprobe. Im Fahrzeug des 21-Jährigen wurden zwei verbotene Schlagringe sichergestellt. Zudem stellten die Polizisten unzulässige technische Abänderungen an der Auspuffanlae sowie einen bis auf die Karkasse abgefahrenen Reifen fest. Die Kontrollschilder wurden zuhanden des Strassenverkehrsamtes eingezogen und dem 21-jährigen Mann wurde eine Anzeige in Aussicht gestellt.</p>
					
					
					
	         	</div>";2020-09-05T10:35:00+02:00;https://www.stadt.sg.ch/content/applikationen/news/13/2020/09/verstoss-gegen-strassenverkehrs--und-waffengesetz/jcr:content/newsdetail.jpg;
https://www.stadt.sg.ch/news/13/2020/10/stromausfall-im-gebiet-rotmonten--sandrain---kirchli.html;Stromausfall im Gebiet Rotmonten – Sandrain - Kirchli;"<div class=""t"">
	         		<strong><p>Am Mittwochmorgen (07.10.2020) kam es im Osten der Stadt St.Gallen zu einem Stromausfall. Betroffen waren rund 148 Kunden der St.Galler Stadtwerke. Nach einer Stunde konnten alle Betroffenen wieder mit Strom versorgt werden.</p></strong>
	         		
						<div class=""newsbild""> 
							<a href=""https://www.stadt.sg.ch/news/13/2020/10/stromausfall-im-gebiet-rotmonten--sandrain---kirchli.html"" title=""Interner Link: Stromausfall im Gebiet Rotmonten – Sandrain - Kirchli"">
								<img alt=""Symbolbild"" class=""textbild"" src=""https://www.stadt.sg.ch/content/applikationen/news/13/2020/10/stromausfall-im-gebiet-rotmonten--sandrain---kirchli/jcr:content/newsdetail.jpg"" width=""250"" /><p><a href=""https://www.stadt.sg.ch/news/13/2020/10/stromausfall-im-gebiet-rotmonten--sandrain---kirchli/_jcr_content/newsdetail.Longdesc.html"" target=""_blank""><span class=""hidden"">Textalternative zum Bild: Symbolbild - neues Fenster</span></a></p>
							</a>
							<p class=""bildlegende""></p>
						</div>
					
					<p>Am Mittwochmorgen um 00:58 ist es aufgrund einer technischen Störung der Mittelspannungsleitung zwischen den Transformatorenstationen Rotmonten und Sandrainstrasse zu einem Versorgungsunterbruch gekommen. Ebenfalls waren die Liegenschaften im Bereich der Transformatorenstation Kirchli betroffen. Gesamthaft konnten 148 Kunden für eine Stunde nicht versorgt werden, Der Bereitschaftsdienst der St.Galler Stadtwerke konnte nach Isolierung der Schadensstelle ab 01:59 Uhr sämtliche Betroffenen wieder mit Strom versorgen.</p>
					
					
					
						<ul class=""links"">
							
								<li class=""download""><a href=""https://www.stadt.sg.ch/news/13/2020/10/stromausfall-im-gebiet-rotmonten--sandrain---kirchli/_jcr_content/Par/downloadlist/DownloadListPar/download.ocFile/Strom.jpg"" target=""_blank"" title=""Download: Es öffnet sich ein neues Fenster: Strom.jpg"">Symbolbild</a></li>
							
							
						</ul>
					
	         	</div>";2020-10-07T03:26:00+02:00;https://www.stadt.sg.ch/content/applikationen/news/13/2020/10/stromausfall-im-gebiet-rotmonten--sandrain---kirchli/jcr:content/newsdetail.jpg;
https://www.stadt.sg.ch/news/13/2020/08/fussgaengerin-und-velofahrer-verletzt.html;Fussgängerin und Velofahrer verletzt;"<div class=""t"">
	         		<strong><p>Am Donnerstagnachmittag (13.08.2020) kollidierte an der Vadianstrasse ein Velofahrer mit einer Fussgängerin. Beide wurden eher leicht verletzt. Der Velofahrer musste zur Kontrolle ins Spital gebracht werden.</p></strong>
	         		
						<div class=""newsbild""> 
							<a href=""https://www.stadt.sg.ch/news/13/2020/08/fussgaengerin-und-velofahrer-verletzt.html"" title=""Interner Link: Fussgängerin und Velofahrer verletzt"">
								<img alt=""Unfall&ouml;rtlichkeit"" class=""textbild"" src=""https://www.stadt.sg.ch/content/applikationen/news/13/2020/08/fussgaengerin-und-velofahrer-verletzt/jcr:content/newsdetail.jpg"" width=""250"" />
							</a>
							<p class=""bildlegende""></p>
						</div>
					
					<p>Eine Fussgängerin war am Donnerstag um 16:15 Uhr auf dem Trottoir an der Vadianstrasse unterwegs. Gemäss ersten Erkenntnissen kam ein Velofahrer in zügiger Fahrweise auf dem Trottoir daher und kollidierte auf Höhe des St.Leonhardparks mit der Fussgängerin. Beide stürzten zu Boden und verletzten sich eher leicht. Die Fussgängerin musste nicht medizinisch versorgt werden. Der Velofahrer wurde durch die Rettungssanität zur Kontrolle ins Spital gebracht. Beim Mann stellte die Polizei eine Kleinmenge Marihuana sicher. Er musste eine Blut- und Urinprobe abgeben. Die genauen Hintergründe werden durch die Stadtpolizei St.Gallen geklärt.</p>
					
					
					
						<ul class=""links"">
							
								<li class=""download""><a href=""https://www.stadt.sg.ch/news/13/2020/08/fussgaengerin-und-velofahrer-verletzt/_jcr_content/Par/downloadlist/DownloadListPar/download.ocFile/VU%20Vadianstrasse.jpg"" target=""_blank"" title=""Download: Es öffnet sich ein neues Fenster: VU Vadianstrasse.jpg"">Bild: Unfallort</a></li>
							
							
						</ul>
					
	         	</div>";2020-08-14T11:25:00+02:00;https://www.stadt.sg.ch/content/applikationen/news/13/2020/08/fussgaengerin-und-velofahrer-verletzt/jcr:content/newsdetail.jpg;
https://www.stadt.sg.ch/news/13/2020/08/zwei-autos-kollidieren-auf-langgasse.html;Zwei Autos kollidieren auf Langgasse;"<div class=""t"">
	         		<strong><p>Mittwochnacht (19.08.2020) kam es zu einem Autounfall bei der Bushaltestelle Heiligkreuzstrasse. Zwei Mitfahrerinnen wurden unbestimmt verletzt.</p></strong>
	         		
						<div class=""newsbild""> 
							<a href=""https://www.stadt.sg.ch/news/13/2020/08/zwei-autos-kollidieren-auf-langgasse.html"" title=""Interner Link: Zwei Autos kollidieren auf Langgasse"">
								<img alt=""&Uuml;bersicht Unfallstelle"" class=""textbild"" src=""https://www.stadt.sg.ch/content/applikationen/news/13/2020/08/zwei-autos-kollidieren-auf-langgasse/jcr:content/newsdetail.jpg"" width=""250"" />
							</a>
							<p class=""bildlegende""></p>
						</div>
					
					<p>Am Mittwoch kurz nach 23 Uhr fuhr ein 40-jähriger Autofahrer mit zwei Mitfahrerinnen auf der Langgasse stadteinwärts. An der Bushaltestelle Heiligkreuzstrasse wollte er anhalten, um eine der beiden Personen aussteigen zu lassen. Kurz bevor er anhielt, fuhr ein 45-jähriger Autofahrer gegen das Heck seines Autos. Die beiden Mitfahrerinnen verletzten sich unbestimmt; eine davon, weil sie keinen Sicherheitsgurt trug. Sie mussten zur Kontrolle ins Spital gebracht werden. Die beiden Fahrzeuge mussten abgeschleppt werden und es entstand Sachschaden im Wert von mehr als 10'000 Franken.</p><p>&nbsp;</p>
					
					
					
						<ul class=""links"">
							
								<li class=""download""><a href=""https://www.stadt.sg.ch/news/13/2020/08/zwei-autos-kollidieren-auf-langgasse/_jcr_content/Par/downloadlist/DownloadListPar/download.ocFile/IMG_0003.JPG"" target=""_blank"" title=""Download: Es öffnet sich ein neues Fenster: IMG_0003.JPG"">Bild 1: Übersicht Unfallstelle</a></li>
							
								<li class=""download""><a href=""https://www.stadt.sg.ch/news/13/2020/08/zwei-autos-kollidieren-auf-langgasse/_jcr_content/Par/downloadlist/DownloadListPar/download_1289578776.ocFile/IMG_0044.JPG"" target=""_blank"" title=""Download: Es öffnet sich ein neues Fenster: IMG_0044.JPG"">Bild 2: Nahaufnahme beschädigtes Fahrzeug</a></li>
							
							
						</ul>
					
	         	</div>";2020-08-20T10:44:00+02:00;https://www.stadt.sg.ch/content/applikationen/news/13/2020/08/zwei-autos-kollidieren-auf-langgasse/jcr:content/newsdetail.jpg;
https://www.stadt.sg.ch/news/13/2020/09/ballone-aus-fahrendem-auto-gehalten.html;Ballone aus fahrendem Auto gehalten;"<div class=""t"">
	         		<strong><p>Am Donnerstagnachmittag (24.09.2020) wurde auf der Rosenheimstrasse ein Fahrzeug angehalten, aus dessen Fenster eine grosse Anzahl Ballone gehalten wurde. Zudem war eine Person mehr im Auto als erlaubt. Es kam zu einer Anzeige und einer Busse. </p></strong>
	         		
						<div class=""newsbild""> 
							<a href=""https://www.stadt.sg.ch/news/13/2020/09/ballone-aus-fahrendem-auto-gehalten.html"" title=""Interner Link: Ballone aus fahrendem Auto gehalten"">
								<img alt=""Situation Auto mit Ballonen"" class=""textbild"" src=""https://www.stadt.sg.ch/content/applikationen/news/13/2020/09/ballone-aus-fahrendem-auto-gehalten/jcr:content/newsdetail.jpg"" width=""250"" />
							</a>
							<p class=""bildlegende""></p>
						</div>
					
					<p>Am Donnerstagnachmittag um kurz vor 14 Uhr wurde die Stadtpolizei St.Gallen auf ein Fahrzeug aufmerksam, aus dessen hinterem Fenster eine grosse Anzahl Ballone gehalten wurde. Bei der Kontrolle wurde festgestellt, dass im Fahrzeug fünf Personen sassen, obwohl das Fahrzeug lediglich auf vier Personen zugelassen ist. Eine dieser Personen war ein 2-jähriges Kind, welches auf dem Schoss der Beifahrerin sass. Wegen der überzähligen Person wurde ein Busse von CHF 60.- ausgestellt. Die Mitfahrerin, welche die Ballon aus dem Fenster hielt, wurde angezeigt und musste ihren Weg zu Fuss fortsetzen.</p><p>&nbsp;</p>
					
					
					
						<ul class=""links"">
							
								<li class=""download""><a href=""https://www.stadt.sg.ch/news/13/2020/09/ballone-aus-fahrendem-auto-gehalten/_jcr_content/Par/downloadlist/DownloadListPar/download.ocFile/IMG_2852.jpg"" target=""_blank"" title=""Download: Es öffnet sich ein neues Fenster: IMG_2852.jpg"">Bild: Situation Auto mit Ballonen</a></li>
							
							
						</ul>
					
	         	</div>";2020-09-25T11:07:00+02:00;https://www.stadt.sg.ch/content/applikationen/news/13/2020/09/ballone-aus-fahrendem-auto-gehalten/jcr:content/newsdetail.jpg;
https://www.stadt.sg.ch/news/13/2020/09/auto-rollt-rueckwaerts-in-schranke.html;Auto rollt rückwärts in Schranke;"<div class=""t"">
	         		<strong><p>Am Dienstagnachmittag (01.09.2020) touchierte ein Autofahrer bei der Ausfahrt aus der Tiefgarage Spisertor einen Pfosten. Bei der darauffolgenden Schadenaufnahme vergass der Fahrer das Auto zu sichern, weshalb dieses rückwärts in eine Schranke rollte. Beim Unfall wurde niemand verletzt, aber es entstand erheblicher Sachschaden.</p></strong>
	         		
						<div class=""newsbild""> 
							<a href=""https://www.stadt.sg.ch/news/13/2020/09/auto-rollt-rueckwaerts-in-schranke.html"" title=""Interner Link: Auto rollt rückwärts in Schranke"">
								<img alt=""Auto in Tiefgaragenausfahrt"" class=""textbild"" src=""https://www.stadt.sg.ch/content/applikationen/news/13/2020/09/auto-rollt-rueckwaerts-in-schranke/jcr:content/newsdetail.jpg"" width=""250"" />
							</a>
							<p class=""bildlegende""></p>
						</div>
					
					<p>Am Dienstag kurz nach 14.30 Uhr lenkte ein 41-Jähriger sein Fahrzeug aus der Tiefgarage Spisertor. Dabei touchierte er mit dem rechten Aussenspiegel einen Pfosten, wodurch die Spiegelabdeckung zu Boden fiel. Am Ende der Ausfahrtsrampe hielt der Lenker sein Fahrzeug an und stieg aus, um den Schaden zu inspizieren. Dabei vergass er, den Wagen gegen das Wegrollen zu sichern. Folglich rollte dieser unbemannt retour, touchierte die dortigen Schranken und kam schliesslich zum Stillstand. Es wurde niemand verletzt, jedoch entstand erheblicher Sachschaden.</p><p>&nbsp;</p>
					
					
					
						<ul class=""links"">
							
								<li class=""download""><a href=""https://www.stadt.sg.ch/news/13/2020/09/auto-rollt-rueckwaerts-in-schranke/_jcr_content/Par/downloadlist/DownloadListPar/download.ocFile/IMG%20151201.jpg"" target=""_blank"" title=""Download: Es öffnet sich ein neues Fenster: IMG 151201.jpg"">Bild 1: Frontalansicht Unfall</a></li>
							
								<li class=""download""><a href=""https://www.stadt.sg.ch/news/13/2020/09/auto-rollt-rueckwaerts-in-schranke/_jcr_content/Par/downloadlist/DownloadListPar/download_1038041337.ocFile/IMG%20151232.jpg"" target=""_blank"" title=""Download: Es öffnet sich ein neues Fenster: IMG 151232.jpg"">Bild 2: Heckansicht Unfall</a></li>
							
								<li class=""download""><a href=""https://www.stadt.sg.ch/news/13/2020/09/auto-rollt-rueckwaerts-in-schranke/_jcr_content/Par/downloadlist/DownloadListPar/download_1183702598.ocFile/IMG%20151440.jpg"" target=""_blank"" title=""Download: Es öffnet sich ein neues Fenster: IMG 151440.jpg"">Bild 3: Unfallauto</a></li>
							
								<li class=""download""><a href=""https://www.stadt.sg.ch/news/13/2020/09/auto-rollt-rueckwaerts-in-schranke/_jcr_content/Par/downloadlist/DownloadListPar/download_174890352.ocFile/IMG%20152046.jpg"" target=""_blank"" title=""Download: Es öffnet sich ein neues Fenster: IMG 152046.jpg"">Bild 4: Unfallstelle</a></li>
							
							
						</ul>
					
	         	</div>";2020-09-02T11:13:00+02:00;https://www.stadt.sg.ch/content/applikationen/news/13/2020/09/auto-rollt-rueckwaerts-in-schranke/jcr:content/newsdetail.jpg;
https://www.stadt.sg.ch/news/13/2020/09/strassenverkehrsunfall-mit-sachschaden.html;Strassenverkehrsunfall mit Sachschaden;"<div class=""t"">
	         		<strong><p>Am Dienstagmittag (29.09.2020) ereignete sich auf der Zürcher Strasse ein Verkehrsunfall zwischen zwei Personenwagen. Es wurde niemand verletzt, aber es entstand mässiger Sachschaden.</p></strong>
	         		
						<div class=""newsbild""> 
							<a href=""https://www.stadt.sg.ch/news/13/2020/09/strassenverkehrsunfall-mit-sachschaden.html"" title=""Interner Link: Strassenverkehrsunfall mit Sachschaden"">
								<img alt=""Unfallansicht "" class=""textbild"" src=""https://www.stadt.sg.ch/content/applikationen/news/13/2020/09/strassenverkehrsunfall-mit-sachschaden/jcr:content/newsdetail.jpg"" width=""250"" />
							</a>
							<p class=""bildlegende""></p>
						</div>
					
					<p>Am Dienstagmittag um kurz vor 13 Uhr kam es auf der Zürcher Strasse zu einer Kollision zwischen zwei Personenwagen. Ein 37-jähriger Mann kam von der Autobahnausfahrt Schoren und beabsichtigte in Richtung Winkeln zu fahren. Dabei passierte er das Lichtsignal, nach eigenen Angaben, kurz nachdem es auf orange schaltete. Zeitgleich lenkte ein 60-Jähriger sein Fahrzeug von der Feldlistrasse herkommend mit der Absicht nach links abzubiegen, um auf den Autobahnzubringer zu gelangen. In der Folge kam es zu einer seitlich-frontalen Kollision inmitten der Kreuzung. Verletzt wurde niemand. Ein Fahrzeug musste abgeschleppt werden, es entstand mässiger Sachschaden.</p><p>&nbsp;</p>
					
					
					
						<ul class=""links"">
							
								<li class=""download""><a href=""https://www.stadt.sg.ch/news/13/2020/09/strassenverkehrsunfall-mit-sachschaden/_jcr_content/Par/downloadlist/DownloadListPar/download.ocFile/IMG_0004.jpg"" target=""_blank"" title=""Download: Es öffnet sich ein neues Fenster: IMG_0004.jpg"">Bild 1: Unfallsituation</a></li>
							
								<li class=""download""><a href=""https://www.stadt.sg.ch/news/13/2020/09/strassenverkehrsunfall-mit-sachschaden/_jcr_content/Par/downloadlist/DownloadListPar/download_95441083.ocFile/IMG_0017.jpg"" target=""_blank"" title=""Download: Es öffnet sich ein neues Fenster: IMG_0017.jpg"">Bild 2: Unfallort</a></li>
							
							
						</ul>
					
	         	</div>";2020-09-30T10:05:00+02:00;https://www.stadt.sg.ch/content/applikationen/news/13/2020/09/strassenverkehrsunfall-mit-sachschaden/jcr:content/newsdetail.jpg;
https://www.stadt.sg.ch/news/13/2020/08/polizei-angegangen--beschimpft-und-bedroht.html;Polizei angegangen, beschimpft und bedroht;"<div class=""t"">
	         		<strong><p>Von Samstag auf Sonntag (02.08.2020) kam es zu zwei Vorfällen, bei welchen Polizistinnen und Polizisten der Stadtpolizei St.Gallen angegangen, beschimpft oder bedroht worden sind. Drei Personen wurden angezeigt.</p></strong>
	         		
						<div class=""newsbild""> 
							<a href=""https://www.stadt.sg.ch/news/13/2020/08/polizei-angegangen--beschimpft-und-bedroht.html"" title=""Interner Link: Polizei angegangen, beschimpft und bedroht"">
								<img alt=""Symbolbild"" class=""textbild"" src=""https://www.stadt.sg.ch/content/applikationen/news/13/2020/08/polizei-angegangen--beschimpft-und-bedroht/jcr:content/newsdetail.jpg"" width=""250"" />
							</a>
							<p class=""bildlegende""></p>
						</div>
					
					<p>Am frühen Samstagabend, 1. August 2020, gingen zwei Meldungen bei der Stadtpolizei St.Gallen ein, dass zwei junge Personen die Fahrbahn an der St.Leonhard-Strasse versperren würden und gegen Fahrzeuge geschlagen hätten. Eine Patrouille konnte die zwei Männer beim öffentlichen Parkplatz am Gaiserbahnhof feststellen. Dort versperrten sie die Ein- und Ausfahrt. Als die Patrouille auf die zwei Personen zuging, wurden sie von einem Mann beschimpft und zum Kampf aufgefordert. Der 19-Jährige liess sich nicht beruhigen, weshalb er sowie sein Kollege auf den Posten gebracht wurden. Wegen seines Verhaltens wurde der Schweizer wegen Gewalt und Drohung gegen Behörden und Beamte angezeigt. Der zweite Mann verhielt sich anständig und konnte den Posten nach einer kurzen Kontrolle wieder verlassen. Beide Männer waren alkoholisiert.</p><p>Zu einem weiteren Vorfall kam es am frühen Sonntagmorgen, 2. August 2020. Eine Patrouille wurde um 2 Uhr an eine Schlägerei in der Katharinengasse gerufen. Vor Ort mussten sie einen Mann in Handfesseln legen, welcher zuvor einem anderen Mann mehrere Schläge versetzt hatte. Bei der Anhaltung wehrte sich der 25-Jährige Chinese massiv, beschimpfte die Einsatzkräfte und drohte ihnen mit dem Tod. Während des Einsatzes kam ein weiterer Mann aggressiv auf die Polizei zu. Die Einsatzkräfte wiesen ihn weg, was er aber missachtete. Als er eine Polizistin wegschubste, wurde der 38-Jährige Schweizer ebenfalls in Handschellen gelegt. Beide Personen wurden auf den Polizeiposten gebracht und angezeigt.</p>
					
					
					
	         	</div>";2020-08-03T00:58:00+02:00;https://www.stadt.sg.ch/content/applikationen/news/13/2020/08/polizei-angegangen--beschimpft-und-bedroht/jcr:content/newsdetail.jpg;
https://www.stadt.sg.ch/news/13/2020/08/zeugenaufruf--velofahrer-stuerzt-wegen-ausparkendem-auto.html;Zeugenaufruf: Velofahrer stürzt wegen ausparkendem Auto;"<div class=""t"">
	         		<strong><p>Am Mittwochmorgen (12.08.2020) verunfallte ein E-Bike-Fahrer auf der Kolumbanstrasse. Er wurde wegen eines ausparkenden Autos zu einer Vollbremsung gezwungen. Die Person im Auto entfernte sich vom Unfallort, weshalb die Polizei Zeugen sucht.</p></strong>
	         		
						<div class=""newsbild""> 
							<a href=""https://www.stadt.sg.ch/news/13/2020/08/zeugenaufruf--velofahrer-stuerzt-wegen-ausparkendem-auto.html"" title=""Interner Link: Zeugenaufruf: Velofahrer stürzt wegen ausparkendem Auto"">
								<img alt=""&Uuml;bersicht Unfallstelle"" class=""textbild"" src=""https://www.stadt.sg.ch/content/applikationen/news/13/2020/08/zeugenaufruf--velofahrer-stuerzt-wegen-ausparkendem-auto/jcr:content/newsdetail.jpg"" width=""250"" />
							</a>
							<p class=""bildlegende""></p>
						</div>
					
					<p>Am Mittwoch kurz vor 10.30 Uhr befuhr ein 30-jähriger E-Bike-Fahrer die Kolumbanstrasse abwärts. Auf Höhe der Liegenschaft Nr. 76 musste er stark abbremsen. Grund dafür war ein ausparkendes Auto, das ihm den Weg abschnitt. Infolge seiner Vollbremsung kam er zu Fall und musste mit leichten Verletzungen ins Spital gebracht werden. Es entstand geringer Sachschaden. Die Person im Auto entfernte sich vom Unfallort, weshalb die Polizei Zeugen sucht.</p><p>Wer Angaben zur Person im ausparkenden Auto oder dem Fahrzeug machen kann, meldet sich bitte bei der Stadtpolizei St.Gallen unter 071 224 60 00.</p>
					
					
					
						<ul class=""links"">
							
								<li class=""download""><a href=""https://www.stadt.sg.ch/news/13/2020/08/zeugenaufruf--velofahrer-stuerzt-wegen-ausparkendem-auto/_jcr_content/Par/downloadlist/DownloadListPar/download.ocFile/IMG_0031.jpg"" target=""_blank"" title=""Download: Es öffnet sich ein neues Fenster: IMG_0031.jpg"">Bild 1: Unfallort mit Signalisation</a></li>
							
							
						</ul>
					
	         	</div>";2020-08-17T10:11:00+02:00;https://www.stadt.sg.ch/content/applikationen/news/13/2020/08/zeugenaufruf--velofahrer-stuerzt-wegen-ausparkendem-auto/jcr:content/newsdetail.jpg;
https://www.stadt.sg.ch/news/13/2020/10/verkehrsunfall-mit-verletzter-e-bikerin.html;Verkehrsunfall mit verletzter E-Bikerin;"<div class=""t"">
	         		<strong><p>Am Freitag (30.10.2020) ereignete sich auf der Verzweigung Flurhof-, Singenbergstrasse ein Verkehrsunfall zwischen einem E-Bike und einem Personenwagen. Die E-Bikerin wurde dabei verletzt. An beiden Fahrzeugen entstand Sachschaden.</p></strong>
	         		
						<div class=""newsbild""> 
							<a href=""https://www.stadt.sg.ch/news/13/2020/10/verkehrsunfall-mit-verletzter-e-bikerin.html"" title=""Interner Link: Verkehrsunfall mit verletzter E-Bikerin"">
								<img alt=""Verzweigung Flurhof-, Singenbergstrasse"" class=""textbild"" src=""https://www.stadt.sg.ch/content/applikationen/news/13/2020/10/verkehrsunfall-mit-verletzter-e-bikerin/jcr:content/newsdetail.jpg"" width=""250"" /><p><a href=""https://www.stadt.sg.ch/news/13/2020/10/verkehrsunfall-mit-verletzter-e-bikerin/_jcr_content/newsdetail.Longdesc.html"" target=""_blank""><span class=""hidden"">Textalternative zum Bild: Verzweigung Flurhof-, Singenbergstrasse - neues Fenster</span></a></p>
							</a>
							<p class=""bildlegende""></p>
						</div>
					
					<p>Am Freitagvormittag kurz nach 1130 Uhr kam es auf der Verzweigung Flurhof-, Singenbergstrasse zu einer frontal seitlichen Kollision. Eine 80-jährige E-Bikerin fuhr auf der Flurhofstrasse abwärts. Bei der Verzweigung mit der Singenbergstrasse übersah sie den von rechts kommenden Personenwagen. Auch der Personenwagenlenker sah die E-Bikerin zu spät. In der Folge stiess die E-Bikerin mit ihrem Fahrrad gegen die Front des Personenwagens und kam dadurch zu Fall. Beim Sturz auf die Fahrbahn verletzte sie sich im Gesicht und der Hand. Sie musste mit dem Rettungswagen ins Kantonsspital verbracht werden. An den Fahrzeugen entstand leichter Sachschaden.</p>
					
					
					
						<ul class=""links"">
							
								<li class=""download""><a href=""https://www.stadt.sg.ch/news/13/2020/10/verkehrsunfall-mit-verletzter-e-bikerin/_jcr_content/Par/downloadlist/DownloadListPar/download.ocFile/Verzweigung.JPG"" target=""_blank"" title=""Download: Es öffnet sich ein neues Fenster: Verzweigung.JPG"">Bild 1: Kollisionsort</a></li>
							
								<li class=""download""><a href=""https://www.stadt.sg.ch/news/13/2020/10/verkehrsunfall-mit-verletzter-e-bikerin/_jcr_content/Par/downloadlist/DownloadListPar/download_871509871.ocFile/eBike.JPG"" target=""_blank"" title=""Download: Es öffnet sich ein neues Fenster: eBike.JPG"">Bild 2: E-Bike</a></li>
							
								<li class=""download""><a href=""https://www.stadt.sg.ch/news/13/2020/10/verkehrsunfall-mit-verletzter-e-bikerin/_jcr_content/Par/downloadlist/DownloadListPar/download_2057647588.ocFile/Personenwagen.JPG"" target=""_blank"" title=""Download: Es öffnet sich ein neues Fenster: Personenwagen.JPG"">Bild 3: Personenwagen</a></li>
							
							
						</ul>
					
	         	</div>";2020-10-31T10:06:00+01:00;https://www.stadt.sg.ch/content/applikationen/news/13/2020/10/verkehrsunfall-mit-verletzter-e-bikerin/jcr:content/newsdetail.jpg;
